date,risk_score,alert,true_label
2020-02-03,2.0686047e-17,0,0.0
2020-02-04,1.1533174e-16,0,0.0
2020-02-05,8.686427e-16,0,0.0
2020-02-06,1.3915047e-14,0,0.0
2020-02-07,5.173172e-15,0,0.0
2020-02-08,1.301173e-14,0,0.0
2020-02-09,3.0635257e-14,0,0.0
2020-02-10,7.975791e-14,0,0.0
2020-02-11,2.2342265e-13,0,0.0
2020-02-12,1.7469376e-13,0,0.0
2020-02-13,5.9609603e-13,0,0.0
2020-02-14,1.5007929e-13,0,0.0
2020-02-15,8.4973126e-14,0,0.0
2020-02-16,1.7460331e-15,0,0.0
2020-02-17,3.6655444e-15,0,0.0
2020-02-18,4.624707e-17,0,0.0
2020-02-19,6.960434e-17,0,0.0
2020-02-20,4.5553854e-18,0,0.0
2020-02-21,1.2529024e-17,0,0.0
2020-02-22,3.0166383e-19,0,0.0
2020-02-23,6.4101664e-19,0,0.0
2020-02-24,1.0278992e-19,0,0.0
2020-02-25,2.8819133e-19,0,0.0
2020-02-26,1.0078328e-20,0,0.0
2020-02-27,1.0729061e-20,0,0.0
2020-02-28,1.01711e-20,0,0.0
2020-02-29,3.755914e-19,0,0.0
2020-03-01,1.2598464e-18,0,0.0
2020-03-02,1.6902202e-18,0,0.0
2020-03-03,4.662366e-17,0,0.0
2020-03-04,2.0019283e-15,0,0.0
2020-03-05,1.609388e-13,0,0.0
2020-03-06,3.1580985e-13,0,0.0
2020-03-07,7.400817e-12,0,0.0
2020-03-08,2.1914212e-10,0,0.0
2020-03-09,2.6222905e-08,0,0.0
2020-03-10,3.6368657e-08,0,0.0
2020-03-11,4.8858186e-07,0,0.0
2020-03-12,1.9658187e-06,0,0.0
2020-03-13,2.7859813e-05,0,0.0
2020-03-14,2.4271208e-06,0,0.0
2020-03-15,9.355729e-07,0,0.0
2020-03-16,2.6886147e-07,0,0.0
2020-03-17,1.1711798e-07,0,0.0
2020-03-18,1.4287382e-09,0,0.0
2020-03-19,2.1467168e-10,0,0.0
2020-03-20,1.6829538e-10,0,0.0
2020-03-21,3.5620043e-10,0,0.0
2020-03-22,6.201248e-12,0,0.0
2020-03-23,1.6862294e-12,0,0.0
